selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-064505, 850237.44221605, -1229456.98565244, 885488.88885425, 1.99, 1.83, 0.52
04-1-064509, 854915.18364543, -1224899.81179417, 887298.84471868, 1.14, 1.03, 2.42
04-1-064516, 871280.43281457, -1218788.38933627, 879763.62132880, 1.28, 1.23, 2.79
04-1-064517, 875193.92677374, -1214245.51408077, 882157.68549228, 1.06, 0.95, 1.28
04-1-064522, 878317.19860702, -1218354.58837754, 873344.00759982, 1.65, 1.61, 2.48
04-1-064525, 875874.49651043, -1215905.41307348, 879190.90806333, 1.18, 1.14, 2.29
04-1-064547, 905318.80764347, -1188702.04953918, 886534.85771760, 1.04, 1.00, 2.43
04-1-064553, 917701.59397140, -1189167.68067456, 873076.61271015, 2.04, 1.55, 0.47
04-1-064561, 924866.03768740, -1183135.96187335, 873710.97512531, 2.31, 2.19, 1.96
04-1-064563, 923831.55401988, -1181557.56917279, 876935.41981591, 1.26, 1.18, 3.02
04-1-064566, 920606.91485412, -1174515.63200317, 889693.59810161, 1.20, 1.16, 3.05
04-1-064571, 935016.51128523, -1178640.40411501, 868970.47211720, 1.27, 1.24, 0.59
04-1-064590, 945219.72498415, -1160648.61750302, 882050.57575471, 1.17, 1.07, 0.52
04-1-064594, 948687.92086817, -1159730.74536106, 879530.89034049, 1.49, 1.35, 0.52
04-1-064597, 950482.34233831, -1161221.14862518, 875618.36486491, 1.27, 1.22, 2.72
04-1-064619, 955897.11389552, -1158647.97845009, 873129.04526177, 2.06, 1.89, 2.94
04-1-064633, 964163.67014123, -1150675.99476261, 874581.00382805, 1.16, 1.03, 1.71
04-1-064670, 984994.30746469, -1130194.86285441, 878068.64551678, 1.32, 1.30, 2.59
04-1-064675, 989798.67445030, -1123219.86610984, 881609.02696866, 1.31, 1.23, 0.04
04-1-064684, 999590.13973109, -1124441.65070743, 868912.70373194, 1.12, 0.95, 1.49
04-1-064699, 1007408.81430191, -1115978.17310425, 870792.14398255, 1.08, 1.06, 2.27
04-1-064704, 1010318.75464719, -1099598.98647049, 888086.05605606, 1.29, 1.28, 1.02
04-1-064744, 1091498.18517077, -1030231.60904282, 875107.59538355, 1.06, 0.99, 1.19
04-1-064747, 1091249.89023513, -1031619.06990811, 873781.74143418, 1.35, 1.29, 1.20
04-1-064756, 1094546.52443669, -1019503.16775244, 883821.22444887, 1.47, 1.41, 0.53
04-1-064757, 1096731.59409121, -1012212.00548249, 889474.80373492, 1.50, 1.30, 2.00
04-1-064761, 1099888.04276360, -1019220.87985540, 877492.93527210, 1.68, 1.58, 2.81
04-1-064762, 1104060.27723893, -1018619.12723492, 872940.28309745, 1.86, 1.84, 1.40
04-1-064773, 1116068.87526760, -1007526.04536828, 870540.23087016, 1.08, 1.00, 2.00
04-1-064776, 1112645.55238683, -1006093.40384604, 876558.43929045, 1.34, 1.23, 2.67
04-1-064782, 1122431.24908552, -980954.51942611, 892432.11612638, 5.69, 5.55, 0.29
04-1-064791, 1109155.28825276, -994105.41537923, 894476.23202331, 1.05, 1.00, 0.96
04-1-064794, 1110166.62067044, -999352.94872822, 887345.77151041, 1.09, 0.99, 1.03
04-1-064803, 1125504.96675321, -985617.44471022, 883377.37264249, 1.10, 1.04, 2.78
04-1-064829, 1138888.25003603, -977663.39857215, 875023.76711848, 1.43, 1.08, 2.17
04-1-064831, 1135789.77442507, -977830.39562337, 878856.11206074, 1.66, 1.60, 3.03
04-1-064842, 1148524.53243220, -963794.83228076, 877809.59192201, 1.17, 0.99, 2.04
04-1-067453, 1128698.47858702, -949981.11357449, 917678.80453191, 1.28, 1.10, 0.50
04-1-067464, 1134311.53354237, -959755.92329783, 900424.71787901, 1.23, 1.20, 2.99
04-1-067466, 1137778.55494506, -955860.69071845, 900193.90124927, 3.09, 2.91, 0.15
04-1-067470, 1127225.37702770, -966900.03185948, 901679.56490922, 1.15, 1.06, 1.12
04-1-067477, 1123241.03144845, -966310.25822178, 907266.68081991, 1.06, 0.95, 0.66
04-1-067482, 1116896.63999218, -975705.00351191, 905041.65743683, 1.16, 1.02, 1.99
04-1-067503, 1097928.73374369, -995436.23531215, 906762.34871522, 1.26, 1.17, 0.88
04-1-067507, 1099281.66805724, -988374.20509241, 912828.02596176, 1.11, 1.10, 0.57
04-1-067508, 1097470.95598605, -988201.97135986, 915190.21223325, 1.34, 1.30, 1.54
04-1-067526, 1093364.77523775, -1003043.33620137, 903889.53637672, 1.17, 1.12, 1.87
04-1-067532, 1096787.28394573, -1004703.48262983, 897879.34922596, 1.15, 1.07, 0.35
04-1-067536, 1086834.29765813, -1011576.01230969, 902254.92004953, 1.13, 1.06, 2.99
04-1-067540, 1082598.60507735, -1023834.19505959, 893477.79004922, 1.36, 1.30, 1.10
04-1-067548, 1068909.52627292, -1021971.94696766, 911901.59790085, 1.62, 1.51, 0.29
04-1-067553, 1067163.39482028, -1021872.29628138, 914055.82917471, 1.16, 1.01, 0.45
04-1-067559, 1059368.37803644, -1029651.25312029, 914393.62233354, 5.61, 5.50, 1.96
04-1-067562, 1054243.27601977, -1042241.44089445, 906014.70951049, 1.63, 1.56, 0.59
04-1-067563, 1062145.67096635, -1044205.01288056, 894450.23602353, 1.83, 1.81, 1.42
04-1-067594, 1054376.92376958, -1052097.49819500, 894393.04386496, 2.78, 2.64, 1.01
04-1-067598, 1031463.27037209, -1061343.87555606, 910050.25119108, 1.08, 1.03, 0.14
04-1-067601, 1022756.23737411, -1065068.18405586, 915509.80454842, 1.26, 1.11, 0.39
04-1-067602, 1024791.66179330, -1065362.59787195, 912887.36708012, 1.36, 1.24, 0.25
04-1-067622, 986611.30429495, -1106298.19418809, 906234.62733090, 1.08, 0.98, 0.60
04-1-067630, 977149.27728017, -1107189.09128768, 915352.59110597, 1.09, 1.00, 0.44
04-1-067631, 968803.71479617, -1111970.16853709, 918422.81465605, 1.16, 0.97, 0.27
04-1-067642, 987421.51696119, -1115409.95414687, 894101.86334228, 1.26, 1.12, 1.89
04-1-067651, 981111.50340237, -1116736.47953652, 899376.79154174, 1.55, 1.51, 2.78
04-1-067652, 979638.92112012, -1118441.58476080, 898863.04057089, 1.59, 1.54, 1.99
04-1-067653, 978105.16199876, -1118264.66844463, 900751.45483080, 1.48, 1.43, 1.02
04-1-067656, 960164.73817031, -1121510.47711152, 915891.19730644, 1.71, 1.44, 0.28
04-1-067657, 959026.87432787, -1122796.83423311, 915507.22736253, 1.64, 1.50, 0.20
04-1-067677, 942423.97887109, -1145490.27955204, 904570.51881022, 1.09, 1.08, 1.52
04-1-067709, 903624.18199717, -1185274.83056728, 892830.14831134, 2.05, 1.95, 2.14
04-1-067710, 899547.73449762, -1187260.36332186, 894307.25315467, 3.06, 2.84, 1.80
04-1-067722, 874092.03463353, -1196134.06876927, 907626.11493923, 1.37, 1.28, 0.85
04-1-067729, 877052.98883989, -1205875.88779138, 891739.96098098, 3.29, 3.03, 0.25
04-1-067739, 835697.52284458, -1233392.47186629, 893818.44949351, 1.23, 1.09, 0.28
04-1-067743, 820683.90020781, -1231680.96049656, 909944.34307267, 1.05, 0.98, 0.67
04-1-067755, 809547.27139511, -1249169.36604603, 895973.14151089, 1.43, 1.33, 2.94
04-1-067757, 809216.18737592, -1242045.78207224, 906118.20273369, 1.42, 1.34, 0.29
04-1-067762, 785636.18626934, -1265177.74713330, 894795.96053116, 1.71, 1.66, 1.96
04-1-067771, 792555.85367056, -1250700.91049400, 908934.10723881, 2.57, 2.42, 0.34
04-1-067772, 782012.20109546, -1257822.67714457, 908238.83984263, 2.44, 2.35, 1.46
04-1-067784, 765161.88669790, -1268273.20768834, 908057.88240885, 4.23, 4.05, 0.47
04-1-067789, 769754.74578114, -1274376.93090995, 895544.43179104, 1.04, 1.02, 0.85
04-1-067798, 765709.06257894, -1278849.37223941, 892632.44093375, 1.72, 1.60, 1.06
04-1-067814, 702893.85717069, -1301712.14698510, 911067.76473715, 1.10, 1.04, 1.91
04-1-067820, 678547.62348414, -1326969.04763147, 892908.18637308, 1.28, 1.17, 1.32
04-1-067833, 661194.70524290, -1320432.87756282, 915334.54955548, 1.25, 1.18, 1.05
04-1-067837, 661220.02131390, -1328233.46799821, 903959.45589562, 2.84, 2.79, 0.85
04-1-067839, 669325.69813278, -1318685.49755076, 911937.73272542, 3.91, 3.85, 1.77
04-1-067848, 614774.53464300, -1354508.79518409, 897728.77603619, 1.57, 1.52, 2.84
04-1-067853, 603998.52603079, -1351711.10068007, 909187.35189779, 1.11, 1.08, 0.62
04-1-067868, 578934.31895544, -1363949.97132769, 907212.37317994, 1.09, 0.96, 0.89
04-1-067878, 544413.42837857, -1375803.00923514, 910680.43724493, 1.06, 1.00, 0.11
04-1-067890, 533097.71898045, -1388622.15548170, 897827.42847565, 1.29, 1.21, 2.93
04-1-067891, 537896.38570207, -1391243.06751410, 890881.00515310, 2.04, 2.02, 0.19
04-1-067894, 520596.64346726, -1386714.88311224, 908052.71199728, 1.25, 1.17, 0.06
04-1-067908, 502735.65900081, -1403083.05988933, 892845.75611951, 1.12, 0.97, 1.67
04-1-067916, 482439.50871295, -1401185.51253269, 906912.36616407, 1.24, 1.06, 1.58
04-1-067932, 488331.12927812, -1399228.59999313, 906780.45476247, 1.30, 1.27, 0.47
04-1-067941, 458732.31412170, -1416373.63943452, 895549.62871723, 1.07, 1.03, 2.93
04-1-067944, 449881.15668921, -1421302.95620330, 892223.96938422, 1.23, 1.17, 0.70
04-1-067955, 445090.83433140, -1403274.03952697, 922645.58698550, 1.23, 1.16, 2.31
04-1-067966, 443037.88959615, -1407963.77766308, 916468.32415032, 1.78, 1.64, 0.54
04-1-067969, 452553.26529542, -1406838.37634721, 913542.60158309, 1.41, 1.36, 1.72
04-1-067973, 439620.26842385, -1417118.55130886, 903918.02234895, 1.14, 1.03, 1.81
04-1-067974, 425815.17036854, -1422020.61079361, 902827.54896060, 1.26, 1.19, 1.56
04-1-067977, 426785.17002153, -1416081.35533159, 911661.54560338, 1.24, 1.19, 1.09
04-1-067983, 415574.20324039, -1419589.24619116, 911385.32668654, 1.28, 1.25, 1.33
04-1-067995, 401249.36422699, -1429980.70924604, 901505.89509534, 1.16, 1.01, 0.33
04-1-067996, 398522.05114584, -1431782.62901199, 899854.12040510, 1.06, 1.01, 1.51
04-1-069312, 398234.23970516, -1405363.70742889, 940702.45038917, 1.30, 1.17, 1.81
04-1-069347, 382934.17930639, -1423265.79393879, 919910.13372107, 1.16, 1.11, 0.59
04-1-069356, 410026.32913735, -1406371.12981500, 934107.81745847, 1.83, 1.60, 0.74
04-1-069358, 409466.65581389, -1399722.62098534, 944284.06852945, 1.05, 1.02, 1.47
04-1-069369, 426498.20179028, -1395361.16405115, 943199.48352799, 1.27, 1.23, 2.76
04-1-069371, 432205.22395631, -1394936.58424573, 941227.56563847, 1.63, 1.61, 2.79
04-1-069375, 448589.58034334, -1397276.73550553, 930023.58723981, 1.09, 0.95, 0.34
04-1-069388, 466035.69196129, -1381446.37770089, 944973.75590820, 1.86, 1.80, 2.23
04-1-069391, 498330.72886853, -1378201.51509392, 933159.05849870, 1.95, 1.76, 2.18
04-1-069393, 509833.70682690, -1373615.94637619, 933706.36885704, 1.27, 1.15, 0.26
04-1-069396, 509074.39744421, -1377019.33616068, 929096.20906901, 1.09, 1.04, 2.59
04-1-069397, 502940.37106686, -1373457.76375370, 937669.19237853, 1.16, 1.08, 2.74
04-1-069399, 500077.46604541, -1372162.90558032, 941089.92583226, 1.12, 1.08, 3.11
04-1-069402, 525122.45559985, -1373576.97917780, 925252.10018543, 1.30, 1.18, 2.30
04-1-069409, 547720.70682559, -1362566.77366879, 928424.78134112, 1.10, 1.08, 1.10
04-1-069410, 551765.90174838, -1361220.40247450, 928004.39953426, 1.20, 1.08, 3.01
04-1-069416, 534847.14554543, -1354944.43455839, 946901.72149022, 1.21, 1.11, 0.22
04-1-069422, 537620.52849290, -1351118.01191721, 950790.74733397, 1.13, 1.07, 1.50
04-1-069425, 547751.26692233, -1349692.00382292, 947026.29551742, 1.02, 1.01, 0.32
04-1-069426, 550750.33542286, -1350583.11161959, 944011.69835948, 1.37, 1.24, 2.95
04-1-069441, 576242.88739597, -1347657.25642556, 932910.93568951, 1.58, 1.44, 0.58
04-1-069442, 577076.42116006, -1345123.21947000, 936047.58884566, 1.38, 1.24, 0.85
04-1-069456, 593597.97966730, -1340224.58134348, 932736.97798339, 1.61, 1.49, 2.95
04-1-069462, 611182.53061191, -1324662.67647186, 943548.33889803, 1.13, 1.04, 2.84
04-1-069463, 613553.26487119, -1327546.65949894, 937939.77312998, 1.13, 1.06, 2.16
04-1-069465, 618191.79107099, -1327470.34873411, 934997.40250131, 2.28, 2.18, 1.43
04-1-069469, 637285.56264557, -1318464.67701238, 934920.72771661, 1.65, 1.57, 2.43
04-1-069470, 638559.13415173, -1321982.73875169, 929065.46089820, 1.33, 1.17, 0.03
04-1-069474, 642336.56336526, -1314422.25932672, 937153.46851546, 2.39, 2.33, 1.96
04-1-069484, 652683.22802005, -1302696.74977405, 946332.15204253, 1.09, 1.06, 0.01
04-1-069491, 675357.43665733, -1291400.42228804, 945904.88003071, 1.26, 1.17, 1.43
04-1-069494, 671064.52054453, -1293122.87345552, 946606.78394594, 1.44, 1.31, 3.12
04-1-069506, 673399.30129163, -1302232.56335017, 932353.20129787, 1.32, 1.25, 0.02
04-1-069510, 673141.93190047, -1305026.77378437, 928624.69233984, 1.12, 0.98, 1.06
04-1-069518, 692935.13272637, -1277184.43629458, 952470.25020227, 4.95, 4.86, 0.49
04-1-069525, 695599.90974798, -1288903.65827152, 934573.10321499, 1.53, 1.37, 0.64
04-1-069528, 691928.72803030, -1300561.92998943, 921049.43493199, 1.63, 1.53, 0.63
04-1-069532, 719782.96384472, -1267407.66740234, 945594.54819107, 1.11, 1.09, 0.67
04-1-069538, 729309.57332500, -1274322.89033418, 928852.77489322, 1.27, 1.22, 1.83
04-1-069542, 749642.75055318, -1269092.77858033, 919781.50986977, 1.32, 1.23, 0.79
04-1-069547, 748619.01302289, -1254873.75829013, 939904.34837564, 3.16, 2.97, 3.03
04-1-069551, 778080.69867892, -1248435.57719562, 924422.95294717, 1.13, 1.06, 1.36
04-1-069561, 789001.71415543, -1225277.04004481, 945902.33650141, 1.46, 1.33, 1.06
04-1-069571, 797932.49671736, -1234974.91818571, 925580.59731965, 1.89, 1.82, 1.23
04-1-069581, 818025.67117205, -1218039.32930429, 930469.21151185, 1.07, 0.98, 0.96
04-1-069591, 811411.93910586, -1218779.51754949, 935278.52144605, 1.14, 0.98, 0.17
04-1-069604, 809066.93661076, -1217697.52586491, 938713.04858607, 1.07, 1.01, 2.54
04-1-069608, 805877.63891579, -1214000.34805622, 946215.16898372, 1.63, 1.58, 0.58
04-1-069609, 811061.93177721, -1211595.59265721, 944866.88092844, 2.10, 2.03, 1.12
04-1-069631, 820200.74631117, -1208476.03237727, 940965.02321834, 1.11, 1.02, 1.36
04-1-069634, 822558.77314082, -1209313.96540316, 937824.90786391, 1.19, 1.15, 0.51
04-1-069637, 817703.90247466, -1212295.88960948, 938220.53053302, 1.19, 1.15, 0.39
04-1-069667, 865489.30926383, -1181978.38202878, 934031.11295430, 1.71, 1.64, 0.48
04-1-069669, 872740.42052501, -1174674.75423109, 936494.60230903, 1.30, 1.26, 3.12
04-1-069670, 871658.33164428, -1174545.26232564, 937664.08677282, 1.47, 1.35, 0.64
04-1-069678, 904633.24964555, -1157211.51801712, 927932.61943109, 1.22, 1.18, 2.83
04-1-069679, 892110.64195141, -1166747.87252780, 928114.62894886, 1.19, 1.08, 1.48
04-1-069685, 874458.07614573, -1160655.78402939, 952239.45731240, 1.15, 1.02, 1.41
04-1-069703, 896122.72967715, -1154026.26274676, 940077.76180841, 1.80, 1.68, 0.45
04-1-069745, 938844.51262444, -1130201.35026404, 927240.34045997, 1.14, 1.03, 1.52
04-1-069757, 956299.44894264, -1121703.04706254, 919691.46900610, 1.20, 1.14, 2.05
04-1-069760, 929986.40284953, -1129809.96240517, 936596.76454973, 1.03, 0.97, 0.87
04-1-069766, 933573.27836840, -1128215.56298816, 934948.84210195, 2.46, 2.31, 0.17
04-1-069779, 946838.35857664, -1114460.94338066, 938100.57478236, 1.63, 1.53, 1.96
04-1-069785, 947126.05462554, -1116575.65042035, 935291.29876089, 2.03, 1.78, 2.38
04-1-069787, 945002.20972438, -1116755.90007064, 937222.40864881, 3.03, 2.76, 1.69
04-1-069799, 938667.39828640, -1116442.37102028, 943937.87273574, 1.24, 1.19, 0.07
04-1-069808, 964431.85303391, -1112781.78048408, 922033.98520676, 1.30, 1.20, 2.36
04-1-069809, 969016.10717410, -1110804.01884461, 919609.14292749, 1.74, 1.66, 1.35
04-1-069814, 967283.41481469, -1109716.73932923, 922740.65363835, 1.14, 1.01, 1.38
04-1-069819, 971427.00715387, -1100937.65723410, 928883.52588253, 1.17, 1.04, 0.07
04-1-069820, 969659.01649977, -1102458.44134002, 928927.08908655, 1.12, 1.07, 0.56
04-1-069824, 943064.10818522, -1109155.13054679, 948136.98600707, 1.03, 0.99, 2.30
04-1-069836, 958428.12689680, -1094186.95380620, 950120.62165464, 4.38, 4.22, 0.60
04-1-069844, 956366.68801668, -1104838.95732067, 939815.08630080, 1.55, 1.54, 0.38
04-1-069867, 962893.67158855, -1108346.45774948, 928957.83909115, 1.20, 1.12, 2.21
04-1-069872, 987649.59922141, -1091367.45407558, 923051.52041604, 1.77, 1.64, 2.45
04-1-069873, 988333.21351441, -1091893.00953949, 921697.27936187, 1.33, 1.23, 0.68
04-1-069882, 997545.69664427, -1059755.00067463, 948883.91368576, 1.39, 1.33, 1.74
04-1-069903, 998848.89495942, -1073197.87770125, 932258.52655574, 1.36, 1.17, 2.31
04-1-069907, 1007321.50030096, -1064877.50677105, 932683.25309533, 1.36, 1.28, 1.55
04-1-069923, 1045529.30256106, -1038146.76904721, 920694.58747351, 1.53, 1.46, 1.61
04-1-069934, 1045696.34119831, -1020416.68680612, 940121.11309772, 1.17, 1.10, 1.63
04-1-069937, 1049075.29539405, -1020786.94590209, 935945.40207737, 1.25, 1.12, 1.57
04-1-069940, 1053761.39800600, -1022057.78875107, 929270.44100505, 1.13, 0.99, 1.87
04-1-069961, 1035752.53144859, -1033946.37796539, 936338.79610431, 1.28, 1.18, 0.24
04-1-069968, 1030572.23540162, -1038190.78907482, 937357.72952461, 1.06, 1.00, 1.99
04-1-069978, 1075645.65009960, -1001267.24385556, 926827.43906496, 1.88, 1.77, 1.63
04-1-069988, 1072304.79815833, -988455.34581754, 944286.61388974, 1.63, 1.55, 1.07
04-1-069997, 1080432.11714627, -975628.95775809, 948352.96014864, 1.40, 1.28, 0.94
04-1-069998, 1079039.09838229, -980783.35881974, 944614.94124570, 1.18, 1.07, 1.12
04-1-070038, 1127123.41713341, -949226.91696942, 920391.12482152, 2.81, 2.69, 0.01
04-1-072477, 1087434.56757569, -949164.52823520, 967021.98505594, 1.35, 1.25, 3.01
04-1-072490, 1096558.21603370, -935953.56626685, 969592.57455973, 1.19, 1.14, 0.41
04-1-072497, 1097981.57308730, -938195.78673839, 965807.37774521, 1.28, 1.20, 1.02
04-1-072499, 1098542.45858694, -936554.06440936, 966762.48950818, 1.57, 1.54, 0.04
04-1-072502, 1100090.62565196, -934265.84488687, 967215.95645984, 1.38, 1.32, 2.85
04-1-072503, 1100172.10677298, -936419.18743993, 965038.44528239, 1.14, 1.09, 0.64
04-1-072505, 1101683.40722438, -936380.00563906, 963350.87859298, 1.14, 1.12, 2.70
04-1-072509, 1101864.20077028, -934250.44073681, 965209.90310084, 1.29, 1.16, 1.84
04-1-072513, 1103308.82610871, -933722.39482790, 964069.95784926, 1.39, 1.26, 1.57
04-1-072518, 1104528.44985269, -934126.12377030, 962280.64947597, 1.11, 0.93, 2.05
04-1-072524, 1105448.03711534, -933217.34073401, 962106.43495987, 1.08, 1.01, 2.24
04-1-072538, 1067036.59474475, -985081.38035581, 953732.84495807, 1.14, 1.08, 2.26
04-1-072541, 1045638.69449414, -987360.42742271, 974842.48314086, 1.17, 0.86, 1.10
04-1-072542, 1045852.86268564, -988460.80163242, 973496.68373777, 1.23, 0.94, 1.68
04-1-072543, 1047075.24557535, -987542.20800767, 973114.88402278, 1.09, 1.04, 2.38
04-1-072547, 1049178.80756617, -992193.76503458, 966092.19144994, 1.53, 1.41, 1.77
04-1-072552, 1054629.27374805, -993450.14405123, 958839.22856663, 1.23, 1.16, 1.64
04-1-072555, 1045007.90516931, -996922.79928755, 965744.36078826, 1.31, 1.21, 1.11
04-1-072563, 1041274.62532713, -999523.74320808, 967087.48384680, 1.33, 1.29, 0.83
04-1-072567, 1055222.44064590, -995434.99957820, 956124.21911175, 2.86, 2.72, 0.61
04-1-072575, 1029563.85876756, -1005727.15180510, 973175.17274212, 1.46, 1.14, 3.01
04-1-072589, 1026678.13938868, -1014494.18393276, 967105.11779641, 2.30, 2.22, 0.13
04-1-072594, 1019243.47549226, -1028105.30918792, 960573.25118185, 1.08, 1.02, 0.06
04-1-072626, 1033149.20111033, -1021815.46198891, 952394.16728867, 1.57, 1.52, 1.00
04-1-072648, 989844.37279705, -1064752.11700852, 951351.56854229, 1.56, 1.45, 2.91
04-1-072656, 981270.44684357, -1055603.23698334, 970241.65867155, 1.24, 1.22, 2.48
04-1-072672, 956338.88152830, -1081743.12441804, 966336.64757759, 1.11, 0.99, 1.15
04-1-072673, 956664.07028595, -1080285.80887152, 967644.14315116, 1.11, 0.93, 1.51
04-1-072676, 954763.47350988, -1080455.05643988, 969330.87264609, 1.56, 1.49, 1.00
04-1-072681, 950033.18397257, -1096013.68210288, 956425.49003789, 1.50, 1.42, 2.14
04-1-072686, 942611.45560577, -1089447.71228053, 971157.08614389, 1.55, 1.42, 0.05
